;Wydatki dzienne w miesiącu ;"W arkuszach wpisujemy wydatki w poszczególnych dniach miasiąca. Dopiero po wpisaniu zaplanowanej kwoty do wydania w kolumnie ""PLAN"" pojawi się informacja w kolumnie ""%PLANU"" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kategoria ;Miesięczne wydatki na życie;Plan ;% planu;Suma;20;21;22;23;24;25;26;27;28;29;30;31;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
1. MIESZKANIE;Rata kredytu lub czynsz najmu;420;100,0%;420;;;;;;;;;;;;;;;;;;;;;;420;;;;;;;;;
;Opłaty (gaz, energia, woda itp.);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Środki czystości;100;17,0%;17;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;
;Abonament TV / kablówka;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Konserwacja / dekoracja;250;571,1%;1 428;;250;;676;15;;;;;;152;;;;;;;;335;;;;;;;;;;;;
;Telefony (stacjonarny, komórka);25;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (ubezp. Nieruchmości, podatek itp.);1;60882,0%;609;;;;;;;;;;;;;;;;;;;;;;;;;609;;;;;;
2. ŻYWNOŚĆ;Artykuły spożywcze;1 500;108,4%;1 627;63;9;65;46;37;;;;54;;95;9;4;13;;;54;16;4;142;88;466;34;;116;260;5;31;2;;15
3. TRANSPORT;Paliwo;100;292,4%;292;;20;;;;30;;;;30;;;;50;;;;;;;20;;77;;;;;;;;65
;Ubezp. samochodu (miesięcznie);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Konserwacja i naprawy;50;56,0%;28;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;21
;Bilety miesięczne;5;24,0%;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;Inne (bilety lotnicze itp.);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4. UBEZPIECZENIE;Ubezpieczenie (na życie, medyczne);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5. DŁUG;Kredyt (ratalny, samochodowy itp.);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pożyczka / zadłużenie na karcie kredytowej;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (dług od rodziny, znajomych itp.);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6. ROZRYWKA I REKREACJA;Restauracja / jedzenie poza domem;250;219,9%;550;;88;;;;;65;;;39;57;;10;;18;;;;;;;38;78;;;;;;;132;25
;Wyjazdy i podróże;50;21,4%;11;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;
;Wakacje;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
