;Wydatki dzienne w miesiącu ;"W arkuszach wpisujemy wydatki w poszczególnych dniach miasiąca. Dopiero po wpisaniu zaplanowanej kwoty do wydania w kolumnie ""PLAN"" pojawi się informacja w kolumnie ""%PLANU"" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kategoria ;Miesięczne wydatki na życie;Plan ;% planu;Suma;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;
1. MIESZKANIE;Rata kredytu lub czynsz najmu;420;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Opłaty (gaz, energia, woda itp.);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Środki czystości;100;8,5%;8;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;
;Abonament TV / kablówka;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Konserwacja / dekoracja;250;101,7%;254;;;;;;;;;107;;;54;81;;;;;;;;;13;;;;;;;;;;;;
;Telefony (stacjonarny, komórka);25;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (ubezp. Nieruchmości, podatek itp.);10;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2. ŻYWNOŚĆ;Artykuły spożywcze;1 500;73,7%;1 106;;;;111;9;17;12;100;6;;;21;62;;69;4;66;31;2;183;14;30;57;32;;8;20;117;58;8;23;12;32;
3. TRANSPORT;Paliwo;100;447,9%;448;;;;50;;;;50;;;;;50;;;;50;;;;;;55;;;;150;;;;;;43;
;Ubezp. samochodu (miesięcznie);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Konserwacja i naprawy;50;149,6%;75;;;;;;;;65;;;;;;;;;;;;;;;;;10;;;;;;;;;
;Bilety miesięczne;5;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (bilety lotnicze itp.);30;32,2%;10;;;;;;;;;;;;;;;;6;;;;;;;;;;;;4;;;;;;
4. UBEZPIECZENIE;Ubezpieczenie (na życie, medyczne);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5. DŁUG;Kredyt (ratalny, samochodowy itp.);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pożyczka / zadłużenie na karcie kredytowej;313;100,0%;313;;;;;;;;;313;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (dług od rodziny, znajomych itp.);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6. ROZRYWKA I REKREACJA;Restauracja / jedzenie poza domem;250;336,8%;842;;;71;134;;;35;;28;;29;100;;52;;22;37;;;26;96;;23;34;41;;29;;;;85;;;
;Wyjazdy i podróże;50;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Wakacje;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zwierzęta;350;246,5%;863;;281;;;-16;;;;;;;;;;;;;;;60;;;;120;156;;;90;;;;;172;
;Hobby / Sport / Muzyka;100;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (kino, teatr, CD, DVD;0;#DIV/0!;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;29;
7. UBRANIA;Ubrania;200;640,2%;1 280;;;;;373;;;;;127;304;;24;;;;;;252;;;2;;64;-119;;;;30;224;;;;
8. OSZCZĘDNOŚCI;Przyszła edukacja dzieci;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Program emerytalny / IKE / ….;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oszczędności bieżące;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oszczęd. na duże zakupy (samochód, meble ..);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (np..wydatki okresowe );0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9. ZDROWIE I OPIEKA MEDYCZNA;Lekarz / dentysta / …..;240;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lekarstwa;100;262,9%;263;36;;;;29;;18;;;;;88;;;;;;;;;;;;;;;;;14;;;;78;
10. EDUKACJA;Czesne / Przedszkole;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Materiały szkolne;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Opieka nad dzieckiem;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zajęcia pozalekcyjne i inne;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11. POZOSTAŁE;Książki i prasa;10;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Prezenty (także świąteczne);200;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kieszonkowe (mąż, żona, dzieci);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Organizacje charytatywne, kościół itp.;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Higiena osobista (fryzjer, kosmetyki itp.);50;818,9%;409;;;;;;;;;;;;;;;;;;184;112;;;;;58;;;;25;30;;;;;
;Inne;100;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Podsumowanie;4 453;XX;5 911;36 ;281 ;71;295;396 ;17 ;65 ;215 ;454 ;127;333;262 ;217 ;52 ;69 ;31 ;153;215;366 ;269 ;110 ;44 ;135 ;308;88;8 ;207 ;236 ;143 ;232 ;108;12;354 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;DOCHODY MIESIĘCZNE;Plan;% planu;Kwota;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;DOCHÓD  NETTO - wynagrodzenie, pensja;5 563,18;100,0%;5 563,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;INNY DOCHÓD  np. z działalności, dywidenda, premia itp.;945,11;100,0%;945,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dochód z inwestycji, odsetki;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Suma Dochodów;6 508,29;100,0%;6 508,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ZESTAWIENIE;Plan;% planu;Kwota;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dochody mies;6 508,29;100,0%;6 508,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Wydatki mies;4 453,16;132,7%;5 910,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;NADWYŻKA/DEFICYT;2 055,13;29,1%;597,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
