;Wydatki dzienne w miesiącu ;"W arkuszach wpisujemy wydatki w poszczególnych dniach miasiąca. Dopiero po wpisaniu zaplanowanej kwoty do wydania w kolumnie ""PLAN"" pojawi się informacja w kolumnie ""%PLANU"" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kategoria ;Miesięczne wydatki na życie;Plan ;% planu;Suma;19;20;21;22;23;24;25;26;27;28;29;30;31;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
1. MIESZKANIE;Rata kredytu lub czynsz najmu;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Opłaty (gaz, energia, woda itp.);0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Środki czystości;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Abonament TV / kablówka;71 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Konserwacja / dekoracja;400 zł;87,2%;349 zł;;;;;;;;;;;;;65;;25;65;;;93;;;;;;100;;;;;;
;Telefony (stacjonarny, komórka);114 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (ubezp. Nieruchmości, podatek itp.);0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2. ŻYWNOŚĆ;Artykuły spożywcze;1 500 zł;89,3%;1 340 zł;68;;16;18;18;9;9;37;178;2;28;56;41;2;10;58;25;36;25;64;;35;13;;218;127;18;13;207;8;
3. TRANSPORT;Paliwo;180 zł;96,3%;173 zł;;;;;;;;;;;;;50;;;;;;;;;;18;;;22;83;;;;
;Ubezp. samochodu (miesięcznie);0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Konserwacja i naprawy;10 zł;1830,0%;183 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;175;
;Bilety miesięczne;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (bilety lotnicze itp.);4 zł;103,3%;4 zł;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;
4. UBEZPIECZENIE;Ubezpieczenie (na życie, medyczne);0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5. DŁUG;Kredyt (ratalny, samochodowy itp.);0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pożyczka / zadłużenie na karcie kredytowej;493 zł;100,0%;493 zł;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16
;Inne (dług od rodziny, znajomych itp.);0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6. ROZRYWKA I REKREACJA;Restauracja / jedzenie poza domem;550 zł;99,5%;547 zł;;48;5;34;;30;54;16;-18;;;29;40;;;12;10;;;;;;62;90;;33;;39;21;43;
;Wyjazdy i podróże;50 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Wakacje;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zwierzęta;200 zł;85,9%;172 zł;;;;;;;;;;;;;;;50;74;;;;;;;;;48;;;;;;
;Hobby / Sport / Muzyka;50 zł;38,8%;19 zł;;;;;;;;;;;;;19;;;;;;;;;;;;;;;;;;
;Inne (kino, teatr, CD, DVD;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7. UBRANIA;Ubrania;200 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8. OSZCZĘDNOŚCI;Przyszła edukacja dzieci;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Program emerytalny / IKE / ….;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oszczędności bieżące;0 zł;;0 zł;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Oszczęd. na duże zakupy (samochód, meble ..);0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (np..wydatki okresowe );0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9. ZDROWIE I OPIEKA MEDYCZNA;Lekarz / dentysta / …..;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lekarstwa;140 zł;96,1%;134 zł;95;;;;;;;14;4;;;;;;;;;;;;;;;;;;;22;;;
10. EDUKACJA;Czesne / Przedszkole;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Materiały szkolne;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Opieka nad dzieckiem;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zajęcia pozalekcyjne i inne;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11. POZOSTAŁE;Książki i prasa;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
