;Wydatki dzienne w miesiącu ;"W arkuszach wpisujemy wydatki w poszczególnych dniach miasiąca. Dopiero po wpisaniu zaplanowanej kwoty do wydania w kolumnie ""PLAN"" pojawi się informacja w kolumnie ""%PLANU"" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kategoria ;Miesięczne wydatki na życie;Plan ;% planu;Suma;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;
1. MIESZKANIE;Rata kredytu lub czynsz najmu;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Opłaty (gaz, energia, woda itp.);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Środki czystości;0;#DIV/0!;76;;;;;;;;;;;;;;;;;;;;;;76;;;;;;;;;;;;
;Abonament TV / kablówka;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Konserwacja / dekoracja;600;21,2%;127;;;;10;60;8;;;;;;;;15;;;;34;;;;;;;;;;;;;;;;
;Telefony (stacjonarny, komórka);100;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (ubezp. Nieruchmości, podatek itp.);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2. ŻYWNOŚĆ;Artykuły spożywcze;1 000;115,3%;1 153;49;19;;9;;;35;9;92;;72;45;32;218;158;28;;21;23;17;38;70;23;12;26;17;26;;21;62;6;17;8;
3. TRANSPORT;Paliwo;300;185,0%;555;;;;99;;;;22;40;;;;;;;;;;50;;;40;;;;50;;50;204;;;;;
;Ubezp. samochodu (miesięcznie);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Konserwacja i naprawy;200;100,0%;200;;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bilety miesięczne;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (bilety lotnicze itp.);100;22,0%;22;;;;;;;;;;;;;;;;;;;;;;;22;;;;;;;;;;;
4. UBEZPIECZENIE;Ubezpieczenie (na życie, medyczne);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5. DŁUG;Kredyt (ratalny, samochodowy itp.);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pożyczka / zadłużenie na karcie kredytowej;493;100,0%;493;;;;;180;;;313;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (dług od rodziny, znajomych itp.);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6. ROZRYWKA I REKREACJA;Restauracja / jedzenie poza domem;800;185,2%;1 482;;;;24;4;34;63;68;38;;34;24;93;;35;39;132;25;81;-11;52;59;58;43;;117;18;80;114;127;133;;;
;Wyjazdy i podróże;50;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Wakacje;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zwierzęta;400;116,8%;467;;;;;;352;;;;;;107;8;;;;;;;;;;;;;;;;;;;;;
;Hobby / Sport / Muzyka;100;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (kino, teatr, CD, DVD;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7. UBRANIA;Ubrania;200;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8. OSZCZĘDNOŚCI;Przyszła edukacja dzieci;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Program emerytalny / IKE / ….;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oszczędności bieżące;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oszczęd. na duże zakupy (samochód, meble ..);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (np..wydatki okresowe );0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9. ZDROWIE I OPIEKA MEDYCZNA;Lekarz / dentysta / …..;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lekarstwa;150;249,5%;374;;;;61;;;;103;;15;;;2;;;;;;;;;;;;;;193;;;;;;;
