;Wydatki dzienne w miesiącu ;"W arkuszach wpisujemy wydatki w poszczególnych dniach miasiąca. Dopiero po wpisaniu zaplanowanej kwoty do wydania w kolumnie ""PLAN"" pojawi się informacja w kolumnie ""%PLANU"" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kategoria ;Miesięczne wydatki na życie;Plan ;% planu;Suma;19;20;21;22;23;24;25;26;27;28;29;30;31;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;;;
1. MIESZKANIE;Rata kredytu lub czynsz najmu;1 260;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Opłaty (gaz, energia, woda itp.);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Środki czystości;100;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Abonament TV / kablówka;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Konserwacja / dekoracja;250;181,0%;453;;;;;;;;;;46;;;;;;164;183;;10;;;;16;;;;;;34;;;;;
;Telefony (stacjonarny, komórka);25;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (ubezp. Nieruchmości, podatek itp.);10;249,9%;25;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;
2. ŻYWNOŚĆ;Artykuły spożywcze;1 500;73,1%;1 096;14;14;45;11;15;;190;16;147;36;15;79;9;9;;32;119;19;16;7;4;3;2;40;42;127;7;17;13;46;;;;
3. TRANSPORT;Paliwo;100;320,6%;321;;;;;;;;;;;;;;;;;40;;100;;;;40;40;40;;;;30;30;;;;
;Ubezp. samochodu (miesięcznie);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Konserwacja i naprawy;50;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bilety miesięczne;5;54,0%;3;;;;;;;;;;;;;;2;;;;;;;;;;;1;;;;;;;;;
;Inne (bilety lotnicze itp.);30;83,8%;25;;;;;;;;;;;;;;7;;;;;;;;;;;3;;;;;6;10;;;
4. UBEZPIECZENIE;Ubezpieczenie (na życie, medyczne);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5. DŁUG;Kredyt (ratalny, samochodowy itp.);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pożyczka / zadłużenie na karcie kredytowej;313;100,0%;313;;;;;;;313;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (dług od rodziny, znajomych itp.);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6. ROZRYWKA I REKREACJA;Restauracja / jedzenie poza domem;150;771,8%;1 158;;;15;155;;;12;;44;26;;64;;114;;;39;42;122;60;39;65;9;80;88;85;22;;31;31;14;;;
;Wyjazdy i podróże;50;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Wakacje;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zwierzęta;350;190,9%;668;;264;;142;;;;;;;;;;;197;;;;;;;65;;;;;;;;;;;;
;Hobby / Sport / Muzyka;100;26,2%;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;;;;;
;Inne (kino, teatr, CD, DVD;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7. UBRANIA;Ubrania;200;716,3%;1 433;;;;;;;;;;;;;;1433;;;;;;;;;;;;;;;;;;;;
8. OSZCZĘDNOŚCI;Przyszła edukacja dzieci;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Program emerytalny / IKE / ….;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oszczędności bieżące;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oszczęd. na duże zakupy (samochód, meble ..);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (np..wydatki okresowe );0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9. ZDROWIE I OPIEKA MEDYCZNA;Lekarz / dentysta / …..;240;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lekarstwa;100;80,7%;81;;;50;;;;;;22;9;;;;;;;;;;;;;;;;;;;;;;;;
10. EDUKACJA;Czesne / Przedszkole;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Materiały szkolne;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Opieka nad dzieckiem;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zajęcia pozalekcyjne i inne;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11. POZOSTAŁE;Książki i prasa;10;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Prezenty (także świąteczne);200;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kieszonkowe (mąż, żona, dzieci);0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Organizacje charytatywne, kościół itp.;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Higiena osobista (fryzjer, kosmetyki itp.);50;510,6%;255;;;;75;;;;;59;;;;;;;8;32;;;;22;;;;;;;;60;;;;;
;Inne;100;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Podsumowanie;5 193;XX;5 856;14 ;278 ;110 ;383 ;15;0;515 ;16 ;272 ;117 ;15 ;144;9;1 564 ;197 ;204 ;414 ;61 ;273;66;65 ;133 ;67 ;160 ;174 ;212;28;17 ;194 ;113 ;24 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;DOCHODY MIESIĘCZNE;Plan;% planu;Kwota;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;DOCHÓD  NETTO - wynagrodzenie, pensja;5 563,18;100,0%;5 563,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;INNY DOCHÓD  np. z działalności, dywidenda, premia itp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dochód z inwestycji, odsetki;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Suma Dochodów;5 563,18;100,0%;5 563,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ZESTAWIENIE;Plan;% planu;Kwota;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dochody mies;5 563,18;100,0%;5 563,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Wydatki mies;5 193,16;112,8%;5 855,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;NADWYŻKA/DEFICYT;370,02;-79,0%;-292,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
