;Wydatki dzienne w miesiącu ;"W arkuszach wpisujemy wydatki w poszczególnych dniach miasiąca. Dopiero po wpisaniu zaplanowanej kwoty do wydania w kolumnie ""PLAN"" pojawi się informacja w kolumnie ""%PLANU"" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kategoria ;Miesięczne wydatki na życie;Plan ;% planu;Suma;18;19;20;21;22;23;24;25;26;27;28;29;30;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
1. MIESZKANIE;Rata kredytu lub czynsz najmu;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Opłaty (gaz, energia, woda itp.);0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Środki czystości;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Abonament TV / kablówka;71 zł;100,0%;71 zł;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
;Konserwacja / dekoracja;516 zł;223,8%;1 155 zł;40;279;;;;;155;;;;42;;;12;;;200;;;;;;;;427;;;;;;
;Telefony (stacjonarny, komórka);114 zł;100,0%;114 zł;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
;Inne (ubezp. Nieruchmości, podatek itp.);0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2. ŻYWNOŚĆ;Artykuły spożywcze;400 zł;144,8%;579 zł;27;47;13;8;7;2;95;27;20;5;19;22;1;;;7;22;8;5;20;;;66;;103;20;20;7;3;5;
3. TRANSPORT;Paliwo;300 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ubezp. samochodu (miesięcznie);643 zł;100,0%;643 zł;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21
;Konserwacja i naprawy;200 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bilety miesięczne;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne (bilety lotnicze itp.);13 zł;138,0%;18 zł;;;;;;;;12;;;;;;;;;;;;;;;;;;;;6;;;
4. UBEZPIECZENIE;Ubezpieczenie (na życie, medyczne);0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inne;0 zł;;0 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
